GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1400000US53033030901,53033030901,"Census Tract 309.01, King County, Washington",3628,197
1400000US53033030902,53033030902,"Census Tract 309.02, King County, Washington",5241,204
1400000US53033031000,53033031000,"Census Tract 310, King County, Washington",3353,258
1400000US53033031100,53033031100,"Census Tract 311, King County, Washington",6994,605
1400000US53033031202,53033031202,"Census Tract 312.02, King County, Washington",5942,434
1400000US53033031204,53033031204,"Census Tract 312.04, King County, Washington",6624,597
1400000US53033031205,53033031205,"Census Tract 312.05, King County, Washington",6200,365
1400000US53033031206,53033031206,"Census Tract 312.06, King County, Washington",4601,372
1400000US53033031301,53033031301,"Census Tract 313.01, King County, Washington",2336,251
1400000US53033031302,53033031302,"Census Tract 313.02, King County, Washington",4907,288
1400000US53033031400,53033031400,"Census Tract 314, King County, Washington",5788,268
1400000US53033031501,53033031501,"Census Tract 315.01, King County, Washington",3694,338
1400000US53033031502,53033031502,"Census Tract 315.02, King County, Washington",3644,206
1400000US53033031601,53033031601,"Census Tract 316.01, King County, Washington",4559,322
1400000US53033031603,53033031603,"Census Tract 316.03, King County, Washington",5290,391
1400000US53033031604,53033031604,"Census Tract 316.04, King County, Washington",4334,270
1400000US53033031605,53033031605,"Census Tract 316.05, King County, Washington",3429,325
1400000US53033031703,53033031703,"Census Tract 317.03, King County, Washington",5642,362
1400000US53033031704,53033031704,"Census Tract 317.04, King County, Washington",4862,361
1400000US53033031705,53033031705,"Census Tract 317.05, King County, Washington",3577,283
1400000US53033031706,53033031706,"Census Tract 317.06, King County, Washington",5796,279
1400000US53033031800,53033031800,"Census Tract 318, King County, Washington",4350,364
1400000US53033031903,53033031903,"Census Tract 319.03, King County, Washington",6164,318
1400000US53033031904,53033031904,"Census Tract 319.04, King County, Washington",3133,153
1400000US53033031906,53033031906,"Census Tract 319.06, King County, Washington",3525,179
1400000US53033031907,53033031907,"Census Tract 319.07, King County, Washington",7181,463
1400000US53033031908,53033031908,"Census Tract 319.08, King County, Washington",4314,403
1400000US53033031909,53033031909,"Census Tract 319.09, King County, Washington",3299,242
1400000US53033032002,53033032002,"Census Tract 320.02, King County, Washington",2922,324
1400000US53033032003,53033032003,"Census Tract 320.03, King County, Washington",4704,270
1400000US53033032005,53033032005,"Census Tract 320.05, King County, Washington",6691,366
1400000US53033032006,53033032006,"Census Tract 320.06, King County, Washington",4296,267
1400000US53033032007,53033032007,"Census Tract 320.07, King County, Washington",3193,275
1400000US53033032008,53033032008,"Census Tract 320.08, King County, Washington",3961,307
1400000US53033032010,53033032010,"Census Tract 320.10, King County, Washington",4735,221
1400000US53033032011,53033032011,"Census Tract 320.11, King County, Washington",3697,202
1400000US53033032102,53033032102,"Census Tract 321.02, King County, Washington",4574,344
1400000US53033032103,53033032103,"Census Tract 321.03, King County, Washington",4414,369
1400000US53033032104,53033032104,"Census Tract 321.04, King County, Washington",6091,379
1400000US53033032203,53033032203,"Census Tract 322.03, King County, Washington",6172,288
1400000US53033032207,53033032207,"Census Tract 322.07, King County, Washington",3291,172
1400000US53033032208,53033032208,"Census Tract 322.08, King County, Washington",7353,458
1400000US53033032210,53033032210,"Census Tract 322.10, King County, Washington",8195,557
1400000US53033032211,53033032211,"Census Tract 322.11, King County, Washington",4992,216
1400000US53033032212,53033032212,"Census Tract 322.12, King County, Washington",8481,490
1400000US53033032213,53033032213,"Census Tract 322.13, King County, Washington",4399,259
1400000US53033032214,53033032214,"Census Tract 322.14, King County, Washington",6040,254
1400000US53033032215,53033032215,"Census Tract 322.15, King County, Washington",4177,350
1400000US53033032307,53033032307,"Census Tract 323.07, King County, Washington",6069,354
1400000US53033032309,53033032309,"Census Tract 323.09, King County, Washington",4007,429
1400000US53033032311,53033032311,"Census Tract 323.11, King County, Washington",6014,326
1400000US53033032313,53033032313,"Census Tract 323.13, King County, Washington",6204,595
1400000US53033032315,53033032315,"Census Tract 323.15, King County, Washington",5300,299
1400000US53033032316,53033032316,"Census Tract 323.16, King County, Washington",5232,192
1400000US53033032317,53033032317,"Census Tract 323.17, King County, Washington",5700,428
1400000US53033032318,53033032318,"Census Tract 323.18, King County, Washington",5313,231
1400000US53033032319,53033032319,"Census Tract 323.19, King County, Washington",4523,314
1400000US53033032320,53033032320,"Census Tract 323.20, King County, Washington",3997,284
1400000US53033032321,53033032321,"Census Tract 323.21, King County, Washington",4503,271
